identifier,T-statistics,pvalue,mean_group1,mean_group2,std(group1),std(group2),log2FC,test,correction,padj,rejected,group1,group2,FC,-log10 pvalue,Method
sp|P75726|CILA_ECOLI,7.460335615153255,0.00029914921190854585,28.081817187707614,26.85219191080602,0.2216872857577019,0.17987033128790397,1.2296252769015936,t-Test,FDR correction BH,0.12169160607331314,True,0,1,2.3450607173650315,3.52411213694435,Unpaired t-test
sp|P0ABK9|NRFA_ECOLI,5.843766539029311,0.001107241752643147,26.481789218901987,25.636906614434714,0.16642515551915885,0.1871134329737428,0.8448826044672728,t-Test,FDR correction BH,0.1700672086125103,False,0,1,1.796118585372659,2.95575754589975,Unpaired t-test
sp|P36943|EAEH_ECOLI,5.297685270838912,0.001833878811159237,28.845291120148985,28.37480484943231,0.07651346741200075,0.13344370015186835,0.4704862707166768,t-Test,FDR correction BH,0.21869004823073898,False,0,1,1.3855764078853283,2.7366293673485553,Unpaired t-test
sp|P11349|NARH_ECOLI,4.853159797906189,0.002842515100013173,27.35979086980628,26.919208657866946,0.1418978888372646,0.06774512651544402,0.4405822119393328,t-Test,FDR correction BH,0.2905456505799179,False,0,1,1.357151907225117,2.5462972195742717,Unpaired t-test
sp|P37773|MPL_ECOLI,4.07349187829068,0.006549970854140021,27.738677883921188,26.92169073586864,0.11695397603321674,0.32710389548241897,0.8169871480525472,t-Test,FDR correction BH,0.3825891520325348,False,0,1,1.7617230542421771,2.18376063251422,Unpaired t-test
sp|P75825|HCP_ECOLI,4.04051855047418,0.006798722490790962,26.997673065071396,25.38407035056731,0.4551573000474311,0.5208511568494197,1.6136027145040863,t-Test,FDR correction BH,0.3825891520325348,False,0,1,3.0601507274946593,2.167572685429482,Unpaired t-test
sp|P39285|MSCM_ECOLI,3.8157983794904013,0.008803767337823131,24.66126647906018,24.17347597850769,0.044998816782500894,0.21679494690139958,0.4877905005524923,t-Test,FDR correction BH,0.3825891520325348,False,0,1,1.402295602971023,2.055331443314819,Unpaired t-test
sp|P31572|CAIB_ECOLI,3.8085862502671257,0.008878232110538585,25.398860574634533,24.967389067135052,0.11942041367316382,0.15569862182828617,0.4314715074994808,t-Test,FDR correction BH,0.3825891520325348,False,0,1,1.3486084174438078,2.0516735050632557,Unpaired t-test
sp|P37349|DHAM_ECOLI,3.8005033098305074,0.008962521998187674,25.93477235121475,25.259311560613078,0.2957806866475954,0.08530473020753825,0.6754607906016723,t-Test,FDR correction BH,0.3825891520325348,False,0,1,1.5971068003132978,2.04756976536266,Unpaired t-test
sp|P76440|PRET_ECOLI,3.7963827270889934,0.009005834288761148,27.181800098888328,26.638579542465536,0.23314414374118944,0.08406653513739262,0.5432205564227921,t-Test,FDR correction BH,0.3825891520325348,False,0,1,1.4572218741269145,2.045476048505524,Unpaired t-test
sp|P77252|YKGE_ECOLI,3.691430526433077,0.010191417526428452,26.516862479830614,26.012134125855162,0.0988411672762786,0.21521034599634933,0.5047283539754517,t-Test,FDR correction BH,0.40371780462804047,False,0,1,1.4188561736590592,1.9917654056805005,Unpaired t-test
sp|P09152|NARG_ECOLI,3.535846160336468,0.012280477384421142,26.841415717001247,26.289771843243564,0.22242751909428,0.15345269959645969,0.5516438737576834,t-Test,FDR correction BH,0.433941371742507,False,0,1,1.4657548940098117,1.9107847503454969,Unpaired t-test
