identifier,T-Statistics,pvalue,mean(group1),mean(group2),std(group1),std(group2),log2FC,test,correction,padj,rejected,group1,group2,FC,-log10 pvalue,Method
P75726,7.460335615153255,0.00029914921190854585,28.081817187707614,26.85219191080602,0.2216872857577019,0.17987033128790397,1.2296252769015936,t-Test,FDR correction BH,0.12683926584922345,True,control,10 µm sulforaphane,2.3450607173650315,3.52411213694435,Unpaired t-test
P75825,4.344152236529067,0.004853332649696272,26.903122747519724,25.378454401505984,0.327051697041841,0.5124232714244809,1.5246683460137405,t-Test,FDR correction BH,0.3638804333633986,False,control,10 µm sulforaphane,2.8772056574938567,2.3139599409170586,Unpaired t-test
P0ABK9,4.238238028318915,0.005450350982191798,26.362926034235635,25.636906614434714,0.23026479392302132,0.1871134329737428,0.7260194198009202,t-Test,FDR correction BH,0.3638804333633986,False,control,10 µm sulforaphane,1.6540690017960389,2.2635755298846254,Unpaired t-test
P37349,3.8677169255669184,0.00828778316484662,25.93477235121475,25.251354401284743,0.2957806866475954,0.07861528919262957,0.683417949930007,t-Test,FDR correction BH,0.43776507749497234,False,control,10 µm sulforaphane,1.6059399521618496,2.0815616199953775,Unpaired t-test
P76440,3.7963827270889934,0.009005834288761148,27.181800098888328,26.638579542465536,0.23314414374118944,0.08406653513739262,0.5432205564227921,t-Test,FDR correction BH,0.43776507749497234,False,control,10 µm sulforaphane,1.4572218741269145,2.045476048505524,Unpaired t-test
P11349,3.7217965127986408,0.009831471983722273,27.459217699414346,26.93863482736358,0.2231021471896977,0.09444420939549635,0.5205828720507668,t-Test,FDR correction BH,0.4452105674975365,False,control,10 µm sulforaphane,1.4345347060967204,2.0073814540346953,Unpaired t-test
P77252,3.6242034264141334,0.011041467795146684,26.539696634846763,26.012134125855162,0.13135182094532055,0.21521034599634933,0.5275625089916005,t-Test,FDR correction BH,0.4452105674975365,False,control,10 µm sulforaphane,1.4414916790810743,1.9569731899255791,Unpaired t-test
P09152,3.5417367742883092,0.012193255904529925,26.8223575750046,26.24993081831437,0.22849075656254622,0.16173475244660976,0.5724267566902306,t-Test,FDR correction BH,0.4452105674975365,False,control,10 µm sulforaphane,1.487022788447964,1.9138803113984684,Unpaired t-test
P25397,3.1913329711159504,0.01880464378078445,27.63202707257437,27.003178256643398,0.17677999187872723,0.2919481158779196,0.6288488159309722,t-Test,FDR correction BH,0.5769750264746485,False,control,10 µm sulforaphane,1.5463306220868758,1.7257348890698163,Unpaired t-test
P0A7E3,3.1810295158963515,0.019051062194917638,27.334909836738277,26.630914787866192,0.1455239051773593,0.3546233615067422,0.7039950488720841,t-Test,FDR correction BH,0.5769750264746485,False,control,10 µm sulforaphane,1.6290095355975938,1.720080805157332,Unpaired t-test
P05637,2.9095242897381857,0.026997145999178757,26.621087497037696,26.033702063508805,0.26157669767625547,0.23205317607081857,0.5873854335288904,t-Test,FDR correction BH,0.5893120504856328,False,control,10 µm sulforaphane,1.5025212901631098,1.5686821448158754,Unpaired t-test
P0A9I1,2.90700646070103,0.027085882426379496,28.099422059401206,26.99713553834288,0.5550484098186776,0.35108374107500007,1.1022865210583248,t-Test,FDR correction BH,0.5893120504856328,False,control,10 µm sulforaphane,2.146946916820156,1.5672570110398727,Unpaired t-test
P69829,2.724614674035365,0.03443119131869827,26.905699757994928,26.284403771321603,0.057787062154329126,0.3907105756922163,0.6212959866733243,t-Test,FDR correction BH,0.6136355527670551,False,control,10 µm sulforaphane,1.5382563911610834,1.463047950452863,Unpaired t-test
P31142,2.582022696112368,0.04165603892656269,28.110012260847064,27.14902542905812,0.20288048913510673,0.6118837213072085,0.9609868317889436,t-Test,FDR correction BH,0.6466352647356203,False,control,10 µm sulforaphane,1.9466409802535531,1.3803220294944663,Unpaired t-test
P24232,2.57697315623164,0.04193978721752254,27.135749315708015,26.32437986815717,0.5298320011201341,0.12913769832910668,0.8113694475508453,t-Test,FDR correction BH,0.6466352647356203,False,control,10 µm sulforaphane,1.7548764313685377,1.377373777268153,Unpaired t-test
P37127,2.483059120304236,0.04760762809846156,25.20291127177922,24.64144786077735,0.2261372087404608,0.3197647461706889,0.5614634110018706,t-Test,FDR correction BH,0.6795805131281377,False,control,10 µm sulforaphane,1.4757654145620531,1.3223234553541008,Unpaired t-test
