identifier,T-Statistics,pvalue,mean(group1),mean(group2),std(group1),std(group2),log2FC,test,correction,padj,rejected,group1,group2,FC,-log10 pvalue,Method
P75726,13.440119778246682,1.0510374304827165e-05,28.134687595467827,26.793368862049935,0.1307946828827718,0.11301609771346063,1.3413187334178929,t-Test,FDR correction BH,0.01519800124478008,True,control,10 µm sulforaphane,2.533828242183667,4.978381817213778,Unpaired t-test
P76440,10.610331859164578,4.127591061267716e-05,27.234670506648545,26.579756493709446,0.08232955045082896,0.06820166855513835,0.6549140129390985,t-Test,FDR correction BH,0.029842483372965585,True,control,10 µm sulforaphane,1.5745221061650903,4.384303336727836,Unpaired t-test
P09152,6.197418092678832,0.0008133105750290411,26.87522798276482,26.19110776955828,0.07372677806739053,0.17641103630080243,0.6841202132065405,t-Test,FDR correction BH,0.14700588643649917,True,control,10 µm sulforaphane,1.606721868751377,3.0897435807714118,Unpaired t-test
P37349,5.711348226565785,0.0012472989385369348,25.987642758974967,25.192531352528658,0.23533620418796333,0.052537666569864826,0.7951114064463098,t-Test,FDR correction BH,0.16428348215934935,False,control,10 µm sulforaphane,1.7352113639987192,2.904029447244795,Unpaired t-test
P0ABK9,5.370019358860437,0.00171176624727982,26.41579644199585,25.57808356567863,0.14747214811604484,0.22640273295458818,0.837712876317223,t-Test,FDR correction BH,0.19040107642820153,False,control,10 µm sulforaphane,1.7872145997058082,2.7665555413221976,Unpaired t-test
P75825,4.99033664795808,0.002476065826354366,26.955993155279938,25.319631352749894,0.2195252363859628,0.5238090222893614,1.6363618025300433,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,3.108808611881142,2.606237813754321,Unpaired t-test
P77252,4.850665765535392,0.002849723952415986,26.592567042606976,25.953311077099077,0.11901617561808332,0.1947788440678232,0.6392559655078998,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,1.5575256965765956,2.545197207271791,Unpaired t-test
P0ACD8,4.7674977325842125,0.0031023901995896985,30.243383606426878,29.895164428546835,0.08956271952387011,0.08934847051986178,0.3482191778800434,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,1.2729883161912505,2.5083035801938243,Unpaired t-test
P0A9I1,4.499453459967092,0.004106322998950408,28.152292467161423,26.938312489586792,0.3570769312461945,0.30146650797977687,1.2139799775746312,t-Test,FDR correction BH,0.27987884524630646,False,control,10 µm sulforaphane,2.31976711392812,2.3865468924849904,Unpaired t-test
P0A7E3,4.35073595102855,0.004818721733759296,27.38778024449849,26.5720917391101,0.07212046202183316,0.3166198503291386,0.8156885053883904,t-Test,FDR correction BH,0.288422912283568,False,control,10 µm sulforaphane,1.7601379518742744,2.3170681521345897,Unpaired t-test
P19931,4.084264159329774,0.006470924146658642,27.319221225913154,26.714489971346694,0.10871682567629698,0.23226973050387323,0.6047312545664596,t-Test,FDR correction BH,0.3454767633837318,False,control,10 µm sulforaphane,1.5206954514941713,2.189033691026296,Unpaired t-test
P05637,3.828827617257736,0.008670997012022666,26.67395790479791,25.974879014752716,0.13097927024050857,0.2878438861626492,0.6990788900451932,t-Test,FDR correction BH,0.3687724023348463,False,control,10 µm sulforaphane,1.6234679346705034,2.061930963432051,Unpaired t-test
P25397,3.767388053379608,0.009317268400524598,27.68489748033459,26.944355207887313,0.20548141830043323,0.2714637175529086,0.7405422724472785,t-Test,FDR correction BH,0.3849362887759591,False,control,10 µm sulforaphane,1.6708037335594872,2.0307113937041743,Unpaired t-test
P37637,3.493095661330659,0.012934524511179518,28.951915201156375,28.625575916334896,0.13021806213341536,0.0960595559663249,0.3263392848214792,t-Test,FDR correction BH,0.4675830610791396,False,control,10 µm sulforaphane,1.2538278538803975,1.8882495318462804,Unpaired t-test
P24232,3.4394575167353008,0.013810120652364203,27.188619723468232,26.265556819401084,0.41829947096894443,0.20273201261044357,0.9230629040671481,t-Test,FDR correction BH,0.46977313413816546,False,control,10 µm sulforaphane,1.896136603379873,1.8598025271833447,Unpaired t-test
P37765,3.3693885502955045,0.015053822495692423,27.569737057434534,27.21057981553113,0.0318576158381739,0.181857240907853,0.3591572419034037,t-Test,FDR correction BH,0.4947233483811646,False,control,10 µm sulforaphane,1.282676396330113,1.822353209172995,Unpaired t-test
P68767,3.3264015652615555,0.015877517251522054,28.552000298438497,27.962889907659036,0.12793867670224554,0.278794580211656,0.5891103907794601,t-Test,FDR correction BH,0.5101975543489087,False,control,10 µm sulforaphane,1.504318853037252,1.7992174067112774,Unpaired t-test
P0AGL2,3.1818154078409804,0.019032142957105033,30.640166666302925,30.220621705976043,0.104943496364815,0.20284414953271004,0.41954496032688127,t-Test,FDR correction BH,0.5855421003398696,False,control,10 µm sulforaphane,1.337505626313503,1.7205123088202705,Unpaired t-test
P31142,3.084526606100586,0.021537987095649785,28.16288266860728,27.09020238030203,0.12194226627538456,0.5898684026210501,1.07268028830525,t-Test,FDR correction BH,0.623878937539989,False,control,10 µm sulforaphane,2.1033373919208382,1.6667948875793996,Unpaired t-test
P69811,3.067797780732015,0.022004028917385503,29.010214371188923,28.373903658186794,0.09355805144337186,0.3468590948368767,0.6363107130021284,t-Test,FDR correction BH,0.623878937539989,False,control,10 µm sulforaphane,1.5543492614759944,1.657497792978193,Unpaired t-test
P24228,2.9738712170489947,0.024832765634678938,25.662899604970036,24.869201128757755,0.30384690334359954,0.3483804610194164,0.7936984762122812,t-Test,FDR correction BH,0.6744099893002133,False,control,10 µm sulforaphane,1.7335127843640503,1.604974910208059,Unpaired t-test
P11349,2.9694950482798874,0.024973844987847823,27.512088107174563,26.87981177860749,0.36737295013565285,0.03235456150045403,0.6322763285670732,t-Test,FDR correction BH,0.6744099893002133,False,control,10 µm sulforaphane,1.550008716526862,1.60251458826729,Unpaired t-test
P37127,2.96298164054262,0.025185435285070206,25.25578167953944,24.582624812021262,0.08451016734325598,0.38432092228945736,0.6731568675181769,t-Test,FDR correction BH,0.6744099893002133,False,control,10 µm sulforaphane,1.5945583236142589,1.5988505387403413,Unpaired t-test
P0A6W9,2.881941422495605,0.027986632665132877,27.53648715340812,26.70205719758708,0.30175121718425013,0.40055211761467496,0.8344299558210402,t-Test,FDR correction BH,0.6767931820025546,False,control,10 µm sulforaphane,1.7831523324246572,1.5530493524422488,Unpaired t-test
P69829,2.8202325465960225,0.030344872088466673,26.958570165755145,26.22558072256551,0.21600088384135255,0.394960419388642,0.7329894431896342,t-Test,FDR correction BH,0.6767931820025546,False,control,10 µm sulforaphane,1.662079561003024,1.5179146888339252,Unpaired t-test
P0AB52,2.713374249859663,0.03494901006467223,28.457239771972915,26.308440302722563,1.0548609117819894,0.8767682574177714,2.1487994692503527,t-Test,FDR correction BH,0.7327056355427136,False,control,10 µm sulforaphane,4.434586135966857,1.4565651211926647,Unpaired t-test
P63235,2.640805627814201,0.03849893644386692,30.550950368558684,29.673227241675313,0.2900159455754776,0.49729178041195793,0.877723126883371,t-Test,FDR correction BH,0.7327056355427136,False,control,10 µm sulforaphane,1.8374730966366033,1.4145512679704555,Unpaired t-test
P16659,2.628238783112847,0.039151817614474754,29.433547835681722,29.011890362325488,0.2631452433501534,0.08928201255608174,0.42165747335623394,t-Test,FDR correction BH,0.7327056355427136,False,control,10 µm sulforaphane,1.3394655469176264,1.4072480711127318,Unpaired t-test
P18390,2.5982688878672855,0.04075686448777037,26.129751058737767,25.274167266133418,0.4006911855203401,0.40588441368392364,0.8555837926043495,t-Test,FDR correction BH,0.7327056355427136,False,control,10 µm sulforaphane,1.809490825052725,1.3897992345782348,Unpaired t-test
P0AE74,2.5906393268828825,0.04117654132237598,26.50460678619998,25.520714017194912,0.6431542683079278,0.13808880425512676,0.9838927690050667,t-Test,FDR correction BH,0.7327056355427136,False,control,10 µm sulforaphane,1.9777948240160148,1.3853501353209454,Unpaired t-test
P37773,2.555279879642757,0.043182328523707944,27.93804274048155,27.22052213989197,0.1492872874101354,0.4628800211566754,0.7175206005895802,t-Test,FDR correction BH,0.7346076122974317,False,control,10 µm sulforaphane,1.6443536372079464,1.3646939428787774,Unpaired t-test
P0AE45,2.513334662847954,0.04569679225903762,26.325449695349427,25.10969171329397,0.5155631867948233,0.660423085861274,1.2157579820554574,t-Test,FDR correction BH,0.7683437396112605,False,control,10 µm sulforaphane,2.322627800934627,1.3401142846805547,Unpaired t-test
P0AGI8,2.487476190765361,0.04732366983443832,26.22312047641718,25.5833311549842,0.422095586536586,0.14246864895339414,0.6397893214329784,t-Test,FDR correction BH,0.7734300680704799,False,control,10 µm sulforaphane,1.5581016111735484,1.3249215842671154,Unpaired t-test
P0AET5,2.4823491674988527,0.04765343591500259,30.62321384180529,30.230095343284127,0.2670559559828259,0.06261008846638885,0.39311849852116154,t-Test,FDR correction BH,0.7734300680704799,False,control,10 µm sulforaphane,1.313228985573113,1.3219057803324912,Unpaired t-test
P30850,2.481947708308411,0.047679359574953596,28.148440464018464,27.6227268454907,0.14181292493719208,0.33835751463658487,0.5257136185277638,t-Test,FDR correction BH,0.7734300680704799,False,control,10 µm sulforaphane,1.4396455140214843,1.321669586634675,Unpaired t-test
